ID,Date,Source,Site_ID,POC,Daily Max 8-hour PM2.5_PM10_Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1,2/7/2023,AirNow,420010001,1,0.027,ppm,25,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
2,2/8/2023,AirNow,420010001,1,0.041,ppm,38,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3,2/9/2023,AirNow,420010001,1,0.04,ppm,37,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4,2/10/2023,AirNow,420010001,1,0.04,ppm,37,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
5,2/11/2023,AirNow,420010001,1,0.042,ppm,39,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
6,2/12/2023,AirNow,420010001,1,0.037,ppm,34,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
7,2/13/2023,AirNow,420010001,1,0.043,ppm,40,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
8,2/14/2023,AirNow,420010001,1,0.046,ppm,43,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
9,2/15/2023,AirNow,420010001,1,0.047,ppm,44,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
10,2/16/2023,AirNow,420010001,1,0.039,ppm,36,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
11,2/17/2023,AirNow,420010001,1,0.038,ppm,35,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
12,2/18/2023,AirNow,420010001,1,0.04,ppm,37,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
13,2/19/2023,AirNow,420010001,1,0.043,ppm,40,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
14,2/20/2023,AirNow,420010001,1,0.046,ppm,43,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
15,2/21/2023,AirNow,420010001,1,0.045,ppm,42,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
16,2/22/2023,AirNow,420010001,1,0.034,ppm,31,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
17,2/23/2023,AirNow,420010001,1,0.043,ppm,40,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
18,2/24/2023,AirNow,420010001,1,0.04,ppm,37,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
19,2/25/2023,AirNow,420010001,1,0.033,ppm,31,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
20,2/26/2023,AirNow,420010001,1,0.047,ppm,44,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
21,2/27/2023,AirNow,420010001,1,0.039,ppm,36,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
22,2/28/2023,AirNow,420010001,1,0.037,ppm,34,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
23,3/1/2023,AQS,420010001,1,0.04,ppm,37,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
24,3/2/2023,AQS,420010001,1,0.047,ppm,44,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
25,3/3/2023,AQS,420010001,1,0.037,ppm,34,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
26,3/4/2023,AQS,420010001,1,0.044,ppm,41,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
27,3/5/2023,AQS,420010001,1,0.047,ppm,44,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
28,3/6/2023,AQS,420010001,1,0.047,ppm,44,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
29,3/7/2023,AQS,420010001,1,0.047,ppm,44,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
30,3/8/2023,AQS,420010001,1,0.044,ppm,41,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
31,3/9/2023,AQS,420010001,1,0.044,ppm,41,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
32,3/10/2023,AQS,420010001,1,0.035,ppm,32,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
33,3/11/2023,AQS,420010001,1,0.04,ppm,37,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
34,3/12/2023,AQS,420010001,1,0.035,ppm,32,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
35,3/13/2023,AQS,420010001,1,0.038,ppm,35,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
36,3/14/2023,AQS,420010001,1,0.04,ppm,37,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
37,3/15/2023,AQS,420010001,1,0.05,ppm,46,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
38,3/16/2023,AQS,420010001,1,0.052,ppm,48,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
39,3/17/2023,AQS,420010001,1,0.042,ppm,39,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
40,3/18/2023,AQS,420010001,1,0.048,ppm,44,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
41,3/19/2023,AQS,420010001,1,0.04,ppm,37,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
42,3/20/2023,AQS,420010001,1,0.049,ppm,45,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
43,3/21/2023,AQS,420010001,1,0.049,ppm,45,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
44,3/22/2023,AQS,420010001,1,0.053,ppm,49,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
45,3/23/2023,AQS,420010001,1,0.037,ppm,34,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
46,3/24/2023,AQS,420010001,1,0.04,ppm,37,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
47,3/25/2023,AQS,420010001,1,0.045,ppm,42,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
48,3/26/2023,AQS,420010001,1,0.053,ppm,49,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
49,3/27/2023,AQS,420010001,1,0.045,ppm,42,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
50,3/28/2023,AQS,420010001,1,0.047,ppm,44,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
51,3/29/2023,AQS,420010001,1,0.053,ppm,49,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
52,3/30/2023,AQS,420010001,1,0.051,ppm,47,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
53,3/31/2023,AQS,420010001,1,0.042,ppm,39,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
54,4/1/2023,AQS,420010001,1,0.053,ppm,49,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
55,4/2/2023,AQS,420010001,1,0.052,ppm,48,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
56,4/3/2023,AQS,420010001,1,0.049,ppm,45,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
57,4/4/2023,AQS,420010001,1,0.057,ppm,58,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
58,4/5/2023,AQS,420010001,1,0.047,ppm,44,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
59,4/6/2023,AQS,420010001,1,0.047,ppm,44,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
60,4/7/2023,AQS,420010001,1,0.048,ppm,44,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
61,4/8/2023,AQS,420010001,1,0.049,ppm,45,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
62,4/9/2023,AQS,420010001,1,0.056,ppm,54,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
63,4/10/2023,AQS,420010001,1,0.057,ppm,58,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
64,4/11/2023,AQS,420010001,1,0.063,ppm,77,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
65,4/12/2023,AQS,420010001,1,0.064,ppm,80,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
66,4/13/2023,AQS,420010001,1,0.069,ppm,97,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
67,4/14/2023,AQS,420010001,1,0.069,ppm,97,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
68,4/15/2023,AQS,420010001,1,0.044,ppm,41,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
69,4/16/2023,AQS,420010001,1,0.054,ppm,50,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
70,4/17/2023,AQS,420010001,1,0.047,ppm,44,Arendtsville,17,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
71,4/19/2023,AirNow,420010001,1,0.063,ppm,77,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
